1	8
2	2
3	13
4	5
5	7
6	6
7	12
8	14
9	3
10	11
11	6
12	4
13	9
14	5
15	11
16	10
17	2
18	3
19	1
20	4
21	1
22	6
23	1
24	13
25	12
26	5
27	3
28	10
29	9
30	2
31	14
32	13
33	2
34	3
35	8
36	6
37	11
38	5
39	8
40	12
41	10
42	5
43	3
44	6
45	13
46	3
47	5
48	3
49	3
50	4
51	2
52	1
53	3
54	6
55	4
56	5
57	2
58	7
59	1
60	5
61	13
62	4
63	5
64	11
65	3
66	6
67	11
68	4
69	7
70	6
71	2
72	5
73	4
74	6
75	4
76	2
77	6
78	2
79	7
80	3
81	5
82	2
83	4
84	2
85	6
86	4
87	8
88	9
89	12
90	9
91	2
92	14
93	4
94	7
95	1
96	8
97	13
98	4
99	4
100	10
101	3
102	2
103	9
104	7
105	8
106	4
107	14
108	3
109	1
110	4
111	7
112	2
113	8
114	12
115	13
116	3
117	14
118	5
119	5
120	2
121	1
122	10
123	9
124	2
125	1
126	2
127	4
128	4
129	7
130	3
131	2
132	1
133	9
134	1
135	9
136	13
137	14
138	2
139	13
140	2
141	2
142	4
143	10
144	7
145	2
146	6
147	2
148	3
149	13
150	1
151	1
152	7
153	10
154	7
155	6
156	2
157	1
158	1
159	9
160	2
161	5
162	12
163	3
164	3
165	1
166	10
167	2
168	4
169	1
170	13
171	2
172	8
173	13
174	3
175	7
176	2
177	2
178	12
179	14
180	10
181	13
182	14
183	7
184	8
185	1
186	3
187	3
188	8
189	12
190	1
191	3
192	2
193	1
194	5
195	2
196	3
197	13
198	6
199	9
200	5
201	6
202	11
203	14
204	2
205	6
206	13
207	3
208	3
209	2
210	1
211	4
212	7
213	10
214	3
215	1
216	5
217	3
218	12
219	1
220	3
221	1
222	2
223	7
224	13
225	9
226	1
227	4
228	3
229	5
230	2
231	8
232	2
233	10
234	2
235	2
236	7
237	14
238	2
239	3
240	3
241	2
242	2
243	9
244	3
245	4
246	8
247	1
248	1
249	13
250	1
251	11
252	3
253	2
254	1
255	7
256	10
257	7
258	13
259	5
260	8
261	3
262	7
263	13
264	8
265	5
266	4
267	1
268	11
269	8
270	9
271	5
272	3
273	9
274	9
275	2
276	5
277	10
278	7
279	12
280	2
281	6
282	14
283	2
284	6
285	8
286	11
287	7
288	2
289	9
290	9
291	7
292	5
293	12
294	2
295	1
296	3
297	13
298	4
299	5
300	9
301	3
302	14
303	7
304	9
305	4
306	4
307	8
308	1
309	6
310	13
311	2
312	7
313	13
314	1
315	13
316	11
317	9
318	2
319	5
320	3
321	9
322	1
